date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:30:48	228676/228676	---M-Z	200	added ('OK')	text/html	etag:W/%2236b3a-E6Cs0Xl2dZr0pqo/6vW0+L64Yxs%22	https://trome.pe/	C:/My%20Web%20Sites/Trome%20dup/trome.pe/index.html	(from )
20:30:48	472/472	---M-Z	200	added ('OK')	text/plain	etag:W/%22572-2ExxMnN3/KaRGqHGp2VvdCJXI14%22	https://trome.pe/robots.txt		(from )
20:30:48	94294/94294	---M-Z	200	added ('OK')	text/css	etag:W/%22bdf1bb09fb07bfdae93738b7ab42f1e4%22	https://cdnc.trome.pe/dist/trome/css/home-v2.css?d=2631	C:/My%20Web%20Sites/Trome%20dup/cdnc.trome.pe/dist/trome/css/home-v2b647.css	(from https://trome.pe/)
20:30:49	2561/2561	---M--	200	added ('OK')	binary/octet-stream	etag:%22bc77207b3ff90538a9d44c004cec0399%22	https://cdna.trome.pe/resources/dist/trome/images/favicon.png?d=1	C:/My%20Web%20Sites/Trome%20dup/cdna.trome.pe/resources/dist/trome/images/favicon2d2b.png	(from https://trome.pe/)
20:30:49	1745/1745	---M--	200	added ('OK')	binary/octet-stream	etag:%22e9b75c2d829be00cd06ba42331e40ffc%22	https://cdna.trome.pe/resources/dist/trome/images/apple-touch-icon.png?d=1	C:/My%20Web%20Sites/Trome%20dup/cdna.trome.pe/resources/dist/trome/images/apple-touch-icon2d2b.png	(from https://trome.pe/)
20:30:50	1526/1526	---M--	200	added ('OK')	binary/octet-stream	etag:%22e936859f39a9a49ee7eaacef07d1d1e7%22	https://cdna.trome.pe/resources/dist/trome/images/apple-touch-icon-76x76.png?d=1	C:/My%20Web%20Sites/Trome%20dup/cdna.trome.pe/resources/dist/trome/images/apple-touch-icon-76x762d2b.png	(from https://trome.pe/)
20:30:50	4915/4915	---M--	200	added ('OK')	binary/octet-stream	etag:%221517e97b82453fb1998a618ad87cabd4%22	https://cdna.trome.pe/resources/dist/trome/images/apple-touch-icon-120x120.png?d=1	C:/My%20Web%20Sites/Trome%20dup/cdna.trome.pe/resources/dist/trome/images/apple-touch-icon-120x1202d2b.png	(from https://trome.pe/)
20:30:50	2905/2905	---M--	200	added ('OK')	binary/octet-stream	etag:%2282373b0c8ecc70e2d7ef5641da91e32c%22	https://cdna.trome.pe/resources/dist/trome/images/apple-touch-icon-144x144.png?d=1	C:/My%20Web%20Sites/Trome%20dup/cdna.trome.pe/resources/dist/trome/images/apple-touch-icon-144x1442d2b.png	(from https://trome.pe/)
20:30:50	3488/3488	---M--	200	added ('OK')	binary/octet-stream	etag:%22d58cb64b0c67bcf39b65f805a6047e1e%22	https://cdna.trome.pe/resources/dist/trome/images/apple-touch-icon-152x152.png?d=1	C:/My%20Web%20Sites/Trome%20dup/cdna.trome.pe/resources/dist/trome/images/apple-touch-icon-152x1522d2b.png	(from https://trome.pe/)
20:30:50	3536/3536	---M--	200	added ('OK')	binary/octet-stream	etag:%22519e413be7fc7ecf22e8b069c6b464c6%22	https://cdna.trome.pe/resources/dist/trome/images/apple-touch-icon-180x180.png?d=1	C:/My%20Web%20Sites/Trome%20dup/cdna.trome.pe/resources/dist/trome/images/apple-touch-icon-180x1802d2b.png	(from https://trome.pe/)
20:30:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202022%2001:30:50%20GMT	http://www.npttech.com/advertising.js	C:/My%20Web%20Sites/Trome%20dup/www.npttech.com/advertising.8.delayed	(from https://trome.pe/)
20:30:51	519368/519368	---M-Z	200	added ('OK')	text/xml	date:Wed,%2009%20Nov%202022%2001:29:45%20GMT	https://trome.pe/arcio/rss/	C:/My%20Web%20Sites/Trome%20dup/trome.pe/arcio/rss/index.html	(from https://trome.pe/)
20:30:51	5962/5962	---MCZ	200	added ('OK')	application/javascript	etag:W/%22df0e1827cd8f289a645f38d8fecaf6e0%22	https://www.npttech.com/advertising.js	C:/My%20Web%20Sites/Trome%20dup/www.npttech.com/advertising.js	(from https://trome.pe/)
20:30:52	13635/13635	---MCZ	200	added ('OK')	application/javascript	etag:W/%222f944213a9ee4b538cc177f89572e689%22	https://d1r08wok4169a5.cloudfront.net/ads/ec/arcads.js?v=2022-11-09	C:/My%20Web%20Sites/Trome%20dup/d1r08wok4169a5.cloudfront.net/ads/ec/arcads6ebf.js	(from https://trome.pe/)
20:30:56	37695/37695	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2262d7515a-933f%22	http://static.chartbeat.com/js/chartbeat.js	C:/My%20Web%20Sites/Trome%20dup/static.chartbeat.com/js/chartbeat.js	(from https://trome.pe/)
20:30:56	541380/541380	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22842c4-pOQjUrQk+0zs+Mv/gjSWN/fw+uo%22	https://trome.pe/winback/	C:/My%20Web%20Sites/Trome%20dup/trome.pe/winback/index.html	(from https://trome.pe/)
